10.212.,20582.4, (first) 18240, (second) 5856
10.140.,20710.4, (first) 17280, (second) 8576
10.142.,20736.0, (first) 15104, (second) 14080
10.250.,20774.4, (first) 17280, (second) 8736
10.246.,21350.4, (first) 18560, (second) 6976
10.210.,21414.4, (first) 14272, (second) 17856
10.160.,21529.6, (first) 18176, (second) 8384
10.168.,21696.0, (first) 13760, (second) 19840
10.220.,21696.0, (first) 19712, (second) 4960
10.232.,22553.6, (first) 17920, (second) 11584
10.132.,22630.4, (first) 18432, (second) 10496
10.180.,23001.6, (first) 20928, (second) 5184
10.152.,23590.4, (first) 21760, (second) 4576
10.112.,24313.6, (first) 21632, (second) 6704
10.194.,24806.399999999998, (first) 9856, (second) 37376
10.162.,25561.6, (first) 16960, (second) 21504
192.168.112.,25905.6, (first) 25088, (second) 2044
10.102.,26854.4, (first) 19840, (second) 17536
10.202.,27264.0, (first) 22016, (second) 13120
10.104.,28544.0, (first) 24064, (second) 11200
192.168.168.,29902.399999999998, (first) 29184, (second) 1796
10.192.,32947.2, (first) 27136, (second) 14528
10.196.,34124.8, (first) 31488, (second) 6592
192.168.200.,34944.0, (first) 32512, (second) 6080
10.240.,35520.0, (first) 31744, (second) 9440
192.168.178.,36244.8, (first) 35072, (second) 2932
192.168.122.,43571.2, (first) 38144, (second) 13568
10.244.,44620.8, (first) 39168, (second) 13632
10.200.,62835.2, (first) 58880, (second) 9888
10.128.,86425.6, (first) 73984, (second) 31104
192.168.110.,192614.40000000002, (first) 186368, (second) 15616
